code,name,industry,enabled
005930,삼성전자,반도체,true
000660,SK하이닉스,반도체,true
042700,한미반도체,반도체,true
035420,NAVER,인터넷,true
035720,카카오,인터넷,true
259960,크래프톤,인터넷,true
005380,현대차,자동차,true
000270,기아,자동차,true
012330,현대모비스,자동차,true
051910,LG화학,화학·배터리,true
006400,삼성SDI,화학·배터리,true
247540,에코프로비엠,화학·배터리,true
105560,KB금융,금융,true
055550,신한지주,금융,true
086790,하나금융지주,금융,true
207940,삼성바이오로직스,바이오,true
068270,셀트리온,바이오,true
326030,SK바이오팜,바이오,true
051900,LG생활건강,소비재,true
090430,아모레퍼시픽,소비재,true
097950,CJ제일제당,소비재,true
010140,삼성중공업,산업재,true
009540,HD한국조선해양,산업재,true
267250,HD현대,산업재,true
